Source,Actor Seg,Final Segment,Pickup,Delivery,Distinct Order Count,Product Name
WLN,JBA,MM JBA,,,2,AF COCP
WLN,JBA,MM JBA,,,80,Business Broadband
WLN,JBA,MM JBA,,,80,ILL
WLN,JBA,MM JBA,,,2,MPLS
WLN,JBA,MM JBA,,,6,SIP
WLN,JBA,MM JBA,,,8,Tollfree
WLN,JBA,MM JBA,,,3,AF COCP
WLN,JBA,MM JBA,,,9,Business Broadband
WLN,JBA,MM JBA,,,2,ILL
WLN,JBA,MM JBA,,,1,MPLS
WLN,JBA,MM JBA,MTD,,1,ILL
WLN,JBA,MSMB JBA,,,2,Business Broadband
WLN,JBA,MSMB JBA,,,53,WIFI Hot Spot
WLN,JBA,MSMB JBA,,,32,AF COCP
WLN,JBA,MSMB JBA,,,2456,Business Broadband
WLN,JBA,MSMB JBA,,,712,ILL
WLN,JBA,MSMB JBA,,,6,MPLS
WLN,JBA,MSMB JBA,,,39,MPLS
WLN,JBA,MSMB JBA,,,1,ILL
WLN,JBA,MSMB JBA,,,73,SIP
WLN,JBA,MSMB JBA,,,3,Society Centrex
WLN,JBA,MSMB JBA,,,397,Tollfree
WLN,JBA,MSMB JBA,,,13540,WIFI Hot Spot
WLN,JBA,MSMB JBA,,,2,AF COCP
WLN,JBA,MSMB JBA,,,9,Business Broadband
WLN,JBA,MSMB JBA,,,2,ILL
WLN,JBA,MSMB JBA,,,2,MPLS
WLN,JBA,MSMB JBA,,,9,ILL
WLN,JBA,MSMB JBA,,,1,SIP
WLN,JBA,MSMB JBA,MTD,,1,AF COCP
WLN,JBA,MSMB JBA,MTD,,2,ILL
WLN,JBA,MSMB JBA,MTD,,2,SIP
WLN,JBA,MSMB JBA,MTD,MTD,1,ILL
WLN,MM,MM Direct,,,21,Business Broadband
WLN,MM,MM Direct,,,2,AF COCP
WLN,MM,MM Direct,,,26,Business Broadband
WLN,MM,MM Direct,,,2068,ILL
WLN,MM,MM Direct,,,56,MPLS
WLN,MM,MM Direct,,,263,MPLS
WLN,MM,MM Direct,,,164,ILL
WLN,MM,MM Direct,,,225,SIP
WLN,MM,MM Direct,,,34,Tollfree
WLN,MM,MM Direct,,,5,Business Broadband
WLN,MM,MM Direct,,,45,ILL
WLN,MM,MM Direct,,,5,MPLS
WLN,MM,MM Direct,,,15,ILL
WLN,MM,MM Direct,,,2,SIP
WLN,MM,MM Direct,,,88,ILL
WLN,MM,MM Direct,,,2,MPLS
WLN,MM,MM Direct,,,1,MPLS
WLN,MM,MM Direct,,,73,ILL
WLN,MM,MM Direct,,,4,SIP
WLN,MM,MM Direct,,MTD,3,Business Broadband
WLN,MM,MM Direct,,MTD,3,ILL
WLN,MM,MM Direct,,MTD,2,ILL
WLN,MM,MM Direct,,MTD,3,SIP
WLN,MM,MM Direct,MTD,,7,ILL
WLN,MM,MSMB Others,,,11,Business Broadband
WLN,MM,MSMB Others,,,237,Business Broadband
WLN,MM,MSMB Others,,,536,ILL
WLN,MM,MSMB Others,,,17,MPLS
WLN,MM,MSMB Others,,,226,MPLS
WLN,MM,MSMB Others,,,232,SIP
WLN,MM,MSMB Others,,,43,Tollfree
WLN,MM,MSMB Others,,,411,WIFI Hot Spot
WLN,MM,MSMB Others,,,12,Business Broadband
WLN,MM,MSMB Others,,,5,ILL
WLN,MM,MSMB Others,,,31,ILL
WLN,MM,MSMB Others,,MTD,1,ILL
WLN,MM,MSMB Others,MTD,,2,ILL
WLN,MM,MSMB Others,MTD,,1,SIP
WLN,MM,MSMB Others,MTD,MTD,1,Tollfree
WLN,Others,MM Others,,,876,Business Broadband
WLN,Others,MM Others,,,1918,ILL
WLN,Others,MM Others,,,37,MPLS
WLN,Others,MM Others,,,343,MPLS
WLN,Others,MM Others,,,391,SIP
WLN,Others,MM Others,,,158,Tollfree
WLN,Others,MM Others,,,2487,WIFI Hot Spot
WLN,Others,MM Others,,,4,Business Broadband
WLN,Others,MM Others,,,1,SIP
WLN,Others,MM Others,,MTD,1,ILL
WLN,Others,MM Others,MTD,,1,ILL
WLN,Others,MSMB Others,,,275,Business Broadband
WLN,Others,MSMB Others,,,301,AF COCP
WLN,Others,MSMB Others,,,25,AF COCP
WLN,Others,MSMB Others,,,38651,Business Broadband
WLN,Others,MSMB Others,,,3,Enterprise WIFI
WLN,Others,MSMB Others,,,32307,ILL
WLN,Others,MSMB Others,,,36,Business Broadband
WLN,Others,MSMB Others,,,4549,MPLS
WLN,Others,MSMB Others,,,79836,MPLS
WLN,Others,MSMB Others,,,9551,ILL
WLN,Others,MSMB Others,,,4734,SIP
WLN,Others,MSMB Others,,,437,Society Centrex
WLN,Others,MSMB Others,,,6776,Tollfree
WLN,Others,MSMB Others,,,20923,WIFI Hot Spot
WLN,Others,MSMB Others,,,201,AF COCP
WLN,Others,MSMB Others,,,491,Business Broadband
WLN,Others,MSMB Others,,,612,ILL
WLN,Others,MSMB Others,,,10,Business Broadband
WLN,Others,MSMB Others,,,246,MPLS
WLN,Others,MSMB Others,,,1817,MPLS
WLN,Others,MSMB Others,,,577,ILL
WLN,Others,MSMB Others,,,70,SIP
WLN,Others,MSMB Others,,,3,Society Centrex
WLN,Others,MSMB Others,,,1,Tollfree
WLN,Others,MSMB Others,,,5,Enterprise WIFI
WLN,Others,MSMB Others,,,862,ILL
WLN,Others,MSMB Others,,,2,Business Broadband
